run number,run class,title,start date/time,stop date/time,config name,Gas,Pressure,Cathode,Micromegas,E-trans,MTHGEM,Ring,smartZAP,Field,Mesh Threshold,Comments
86,JUNK,,2021-07-13 03:13:24,2021-07-13 03:14:04,e20009,,,,,,,,,,Missing,
87,PULS,Multiplicity baselines (good this time),2021-07-13 03:20:48,2021-07-13 03:21:29,e20009,,,,,,,,,,Missing,
88,,,2021-07-13 03:39:44.049346,2021-07-13 03:40:04.734796,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
89,,,2021-07-13 03:50:00.833166,2021-07-13 03:54:24.775330,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
90,PULS,Multiplicity baselines in full readout mode,2021-07-13 04:00:05,2021-07-13 04:01:10,e20009,,,,,,,,,,Missing,
91,,,2021-07-13 04:03:34.758805,2021-07-13 04:03:54.885452,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
92,,,2021-07-13 04:05:54.809404,2021-07-13 04:06:20.214112,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
93,,,2021-07-13 04:10:25.375829,2021-07-13 04:10:52.323814,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
94,,,2021-07-13 04:30:12.607586,2021-07-13 04:46:28.553859,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
95,,,2021-07-13 04:48:23.699412,2021-07-13 05:04:49.742069,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
96,,,2021-07-13 05:29:24.460346,2021-07-13 05:33:39.456076,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
97,,,2021-07-13 05:48:50.395392,2021-07-13 05:49:59.751277,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
98,,,2021-07-13 05:52:05.308295,2021-07-13 06:11:25.678066,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
99,,,2021-07-13 06:45:56.093116,2021-07-13 06:56:31.050566,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
100,,,2021-07-13 07:04:00.970846,2021-07-13 07:04:46.061729,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
101,,,2021-07-13 08:22:02.801562,2021-07-13 08:23:58.054439,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
102,,,2021-07-13 08:24:56.958499,2021-07-13 08:25:57.778045,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
103,,,2021-07-13 08:30:17.367855,2021-07-13 08:30:52.225485,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
104,,,2021-07-13 08:37:06.987296,2021-07-13 08:37:32.181394,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
105,,,2021-07-13 09:51:48.446432,2021-07-13 09:53:09.942840,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
106,,,2021-07-13 09:53:55.266766,2021-07-13 09:54:13.775727,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
107,,,2021-07-13 09:57:08.519235,2021-07-13 09:57:44.008075,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
108,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 09:58:08,2021-07-13 10:55:34.387633,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Finally our first production run after fixing many issues with the smartZAPs.
109,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 10:55:59,2021-07-13 11:59:09.873879,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Continue production on this setting.
110,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 11:59:34,2021-07-13 13:23:25,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Continue production on this setting. Lost beam due to pressure increase
111,TEST,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 13:25:11,2021-07-13 13:30:50,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Test with different beam contamination - stripper foil removed in beam line
112,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 13:33:10,2021-07-13 14:33:31,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Normal production run
113,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 14:33:51,2021-07-13 15:34:04,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,At beginning of run count rate would fluctuate to 0 and back. Count rate 1400 afterwards
114,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 15:34:44,2021-07-13 16:35:00,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Count rate 1800 at start
115,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 16:35:35,2021-07-13 17:41:06,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Count rate 1500 at start
116,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 17:41:36,2021-07-13 18:29:32,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Count rate 1400 at start
117,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 18:29:56,2021-07-13 19:03:17.034722,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,Missing,Count rate 2100 at start
118,PROD,"Be10 9.6 MeV/u on D2 600 Torr, change the higher TH on IC to remove N15",2021-07-13 19:32:37,2021-07-13 20:07:12,e20009,D2,600.0,60.0,400.0,50.0,850.0,100.0,100.0,2.991,200.0,Count rate 1700 at start
119,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 20:28:07,2021-07-13 20:41:10.444655,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
120,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 21:07:28,2021-07-13 22:09:13,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,"Changed gain on MM and lowered threshold on mesh, slightly increased the beam rate"
121,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 22:09:44,2021-07-13 23:12:49,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
122,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-13 23:13:14,2021-07-14 00:13:55,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
123,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 00:14:19,2021-07-14 01:18:30,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
124,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 01:19:00,2021-07-14 02:19:16,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
125,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 02:19:41,2021-07-14 03:24:52,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
126,PROD,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 03:25:46,2021-07-14 04:33:07,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
127,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 04:33:42,2021-07-14 04:35:52,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
128,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 04:37:03,2021-07-14 04:38:58,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
129,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 04:40:18,2021-07-14 04:43:32,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
130,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 04:55:17,2021-07-14 04:56:07,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
131,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 04:59:02,2021-07-14 05:00:02,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
132,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:01:12,2021-07-14 05:02:02,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
133,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:04:03,2021-07-14 05:05:15,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
134,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:12:58,2021-07-14 05:13:58,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
135,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:14:23,2021-07-14 05:35:58,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
136,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:38:53,2021-07-14 05:39:54,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
137,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 05:40:48,2021-07-14 05:41:39,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
138,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 06:27:29,2021-07-14 06:28:39,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
139,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 06:29:24,2021-07-14 06:30:24,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
140,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 06:35:44,2021-07-14 06:43:59,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
141,JUNK,Be10 9.6 MeV/u on D2 600 Torr,2021-07-14 06:44:34,2021-07-14 06:48:34,e20009,D2,600.0,60.0,420.0,50.0,850.0,100.0,130.0,2.991,150.0,Changed gain on MM and lowered threshold on mesh
